datatime,external_event
2020-03-29 16:14:11,B
2020-03-29 16:14:12,B
2020-03-29 16:14:13,B
2020-03-29 16:14:14,B
2020-03-29 16:14:15,B
2020-03-29 16:14:16,B
2020-03-29 16:14:17,B
2020-03-29 16:14:18,B
2020-03-29 16:14:19,B
2020-03-29 16:14:20,B
2020-03-29 16:14:21,B
2020-03-26 18:50:41,B
2020-03-26 18:50:42,B
2020-03-26 18:50:43,B
2020-03-26 18:50:44,B
2020-03-26 18:50:45,B
2020-03-26 18:50:46,B
2020-03-26 18:50:47,B
2020-03-26 18:50:48,B
2020-03-26 18:50:49,B
2020-03-26 18:50:50,B
2020-03-26 18:50:51,B
2020-03-26 18:50:52,B
2020-03-26 18:50:53,B
2020-03-26 18:50:54,B
2020-03-26 18:50:55,B
2020-03-26 18:50:56,B
2020-03-23 14:49:29,B
2020-03-23 14:49:30,B
2020-03-23 14:49:31,B
2020-03-23 14:49:32,B
2020-03-23 14:49:33,B
2020-03-23 14:49:34,B
2020-03-23 14:49:35,B
2020-03-23 14:49:36,B
2020-03-23 14:49:37,B
2020-03-23 14:49:38,B
2020-03-23 14:49:39,B
2020-03-23 14:49:40,B
2020-03-23 14:49:41,B
2020-03-23 14:49:42,B
2020-03-23 14:49:43,B
2020-03-23 14:49:44,B
2020-03-22 18:11:53,B
2020-03-22 18:11:54,B
2020-03-22 18:11:55,B
2020-03-22 18:11:56,B
2020-03-22 18:11:57,B
2020-03-22 18:11:58,B
2020-03-22 18:11:59,B
2020-03-22 18:12:00,B
2020-03-22 18:12:01,B
2020-03-22 18:12:02,B
2020-03-22 18:12:03,B
2020-03-22 18:12:04,B
2020-03-22 18:12:05,B
2020-03-22 18:12:06,B
2020-03-22 18:12:07,B
2020-03-22 18:12:08,B
2020-03-28 22:51:16,B
2020-03-28 22:51:17,B
2020-03-28 22:51:18,B
2020-03-28 22:51:19,B
2020-03-28 22:51:20,B
2020-03-28 22:51:21,B
2020-03-28 22:51:22,B
2020-03-28 22:51:23,B
2020-03-28 22:51:24,B
2020-03-28 22:51:25,B
2020-03-28 22:51:26,B
2020-03-28 22:51:27,B
2020-03-28 22:51:28,B
2020-03-28 22:51:29,B
2020-03-28 22:51:30,B
2020-03-28 22:51:31,B
2020-03-27 20:07:06,B
2020-03-27 20:07:07,B
2020-03-27 20:07:08,B
2020-03-27 20:07:09,B
2020-03-27 20:07:10,B
2020-03-27 20:07:11,B
2020-03-27 20:07:12,B
2020-03-27 20:07:13,B
2020-03-27 20:07:14,B
2020-03-27 20:07:15,B
2020-03-27 20:07:16,B
2020-03-27 20:07:17,B
2020-03-27 20:07:18,B
2020-03-27 20:07:19,B
